area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,poverty_rate
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.515,0.04,0.149,0.06,0.47600000000000003,0.17,0.184,0.034,0.013999999999999999,0.853,0.0,0.083,0.057255676,0.31095755199999997,0.312931885,0.318854886,9,7,0.276,0.207,0.10099999999999999,0.054000000000000006,0.16469557362240286,0.213,10.0,14.4,1859.0,1199.0,year 1,15.1
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.474,0.035,0.257,0.098,0.51,0.249,0.159,0.098,0.022000000000000002,0.802,0.027999999999999997,0.006999999999999999,0.134207871,0.355196771,0.295660949,0.21493441,16,11,0.318,0.23800000000000002,0.11,0.078,0.14400000000000002,0.31,10.0,19.73,1799.0,1630.0,year 2,14.2
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.44,0.059000000000000004,0.185,0.055999999999999994,0.515,0.213,0.198,0.028999999999999998,0.006,0.9259999999999999,0.012,0.002,0.10910910900000001,0.305305305,0.404404404,0.18118118100000002,11,10,0.281,0.221,0.10400000000000001,0.06,0.154,0.244,10.0,14.82,2749.0,950.0,year 2,16.3
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.34,0.077,0.252,0.055999999999999994,0.547,0.17300000000000001,0.19699999999999998,0.017,0.053,0.9209999999999999,0.011000000000000001,0.001,0.18452381,0.40178571399999996,0.27281746,0.140873016,7,15,0.365,0.19699999999999998,0.14,0.1,0.11,0.344,13.0,20.58,7529.0,2309.0,year 2,25.4
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.43,0.07400000000000001,0.248,0.105,0.501,0.217,0.22399999999999998,0.006,0.006999999999999999,0.955,0.009000000000000001,0.0,0.250253293,0.367781155,0.276595745,0.105369807,10,15,0.27699999999999997,0.365,0.11900000000000001,0.084,0.16469557362240286,0.307,12.0,38.32,13530.0,2689.0,year 2,26.8
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.6509999999999999,0.027000000000000003,0.20800000000000002,0.12300000000000001,0.512,0.243,0.184,0.009000000000000001,0.001,0.963,0.003,0.0,0.08040201,0.287437186,0.41005025100000003,0.22211055300000002,16,9,0.287,0.21364882697947216,0.07400000000000001,0.0835641196013289,0.16469557362240286,0.303,13.0,21.14602162162162,2694.5,1999.5,year 2,9.4
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.327,0.062,0.19399999999999998,0.073,0.48200000000000004,0.313,0.075,0.15,0.17,0.586,0.006999999999999999,0.028999999999999998,0.06116208,0.305810398,0.418960245,0.214067278,28,5,0.32299999999999995,0.255,0.081,0.069,0.145,0.263,10.0,12.77,890.0,2229.0,year 1,11.6
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.495,0.037000000000000005,0.335,0.14300000000000002,0.511,0.237,0.214,0.306,0.024,0.664,0.011000000000000001,0.001,0.213562753,0.319838057,0.313765182,0.15283400800000002,8,14,0.303,0.21364882697947216,0.11699999999999999,0.08900000000000001,0.16469557362240286,0.289,9.0,21.14602162162162,4210.0,2070.0,year 2,18.6
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.355,0.065,0.192,0.091,0.445,0.128,0.28600000000000003,0.013000000000000001,0.494,0.48200000000000004,0.0,0.004,0.21703854,0.29513184600000003,0.306288032,0.18154158199999998,8,14,0.32899999999999996,0.172,0.14400000000000002,0.121,0.12,0.294,13.0,22.54,9939.0,3309.0,year 1,18.3
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.539,0.048,0.115,0.047,0.501,0.26899999999999996,0.159,0.021,0.009000000000000001,0.963,0.001,0.006999999999999999,0.072781655,0.43668993,0.324027916,0.166500499,13,10,0.305,0.166,0.106,0.065,0.187,0.27899999999999997,11.0,14.96,2990.0,2320.0,year 1,8.9
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.381,0.066,0.273,0.068,0.449,0.18100000000000002,0.17300000000000001,0.012,0.508,0.465,0.0,0.002,0.234653465,0.40198019799999996,0.233663366,0.12970297,11,12,0.355,0.22399999999999998,0.14800000000000002,0.142,0.109,0.336,11.0,19.23,4929.0,2409.0,year 2,27.3
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Recreation,0.467,0.08800000000000001,0.175,0.091,0.496,0.168,0.273,0.015,0.0,0.8640000000000001,0.111,0.005,0.069416499,0.314889336,0.35311871200000006,0.262575453,9,13,0.285,0.188,0.099,0.061,0.25,0.239,11.0,16.34,930.0,1529.0,year 2,14.5
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.445,0.08900000000000001,0.165,0.036000000000000004,0.51,0.23399999999999999,0.17,0.045,0.12300000000000001,0.8009999999999999,0.004,0.009000000000000001,0.121242485,0.40581162299999995,0.330661323,0.142284569,13,12,0.29100000000000004,0.264,0.10800000000000001,0.106,0.16699999999999998,0.273,14.0,14.28,3800.0,1979.0,year 2,18.3
