feature,importances
Primary_Bank_Type_enc,0.40703595
Employer_Category1_enc,0.114547156
LCD_month,0.11105417
Var1_enc,0.07478237
Monthly_Income,0.05446217
Gender_enc,0.03220455
Interest_Rate,0.028601421
Source_Category_enc,0.026401762
LCD_weekday,0.020104952
Existing_EMI,0.017928282
Loan_Period,0.017741002
Source_enc,0.017044973
City_Category_enc,0.014809424
Customer_Existing_Primary_Bank_Code_enc,0.014538921
Employer_Category2_enc,0.0122251045
Age,0.009202359
City_Code_enc,0.0061607123
Contacted_enc,0.005979879
Loan_Amount,0.004985094
LCD_day,0.0035366034
Employer_Code_enc,0.0034112968
EMI,0.0032417492
LCD_year,0.0
